TaxonId	matchedType	inputName	matchedName	matchedCanonicalForm	inputRank	matchedRank	synonymStatus	acceptedName	matchedEditDistance	matchedScore	matchTaxonID
118265	Canonical form fuzzy match	Desmarella	Desmacella	Desmacella	genus	genus		Desmacella	1	0.5	33536188
147601	No match	Monosiga			genus				
147602	No match	Proterospongia			genus				
151163	No match	Sphaeroeca			genus				
151257	No match	Sphaeroeca volvox Lauterborn			species				
147945	No match	Proterospongia dybsoeënsis Grøntved			species				
147944	No match	Monosiga mikropelagica Throndsen			species				
150379	No match	Monosiga baltica Willén			species				
150380	No match	Monosiga ovata Kent, 1880			species				
151239	No match	Monosiga micropelagica Throndsen			species				
151240	No match	Monosiga marina Grøntved			species				
118266	No match	Desmarella moniliformis Kent			species				
118264	No match	Codosiga botrytis (Ehrenberg) Kent			species				
1453	Canonical form exact match	Not_assigned_6337	Not assigned	Not assigned	order	class		Not assigned	0	0.988	33521328
1449	No match	Amoebidiales			order				
1450	No match	Eccrinales			order				
1451	Canonical form exact match	Not_assigned_6339	Not assigned	Not assigned	order	class		Not assigned	0	0.988	33521328
632	Exact string match	Eutardigrada	Eutardigrada	Eutardigrada	class	class		Eutardigrada	0	0.75	33526860
635	Exact string match	Heterotardigrada	Heterotardigrada	Heterotardigrada	class	class		Heterotardigrada	0	0.75	33526871
638	Exact string match	Mesotardigrada	Mesotardigrada	Mesotardigrada	class	class		Mesotardigrada	0	0.75	33526885
639	Exact string match	Thermozodia	Thermozodia	Thermozodia	order	order		Thermozodia	0	0.75	33526886
636	Exact string match	Arthrotardigrada	Arthrotardigrada	Arthrotardigrada	order	order		Arthrotardigrada	0	0.75	33526872
637	Exact string match	Echiniscoidea	Echiniscoidea	Echiniscoidea	order	order		Echiniscoidea	0	0.75	33526880
51909	Exact string match	Echiniscoididae	Echiniscoididae	Echiniscoididae	family	family		Echiniscoididae	0	0.75	33526883
137920	Exact string match	Echiniscidae	Echiniscidae	Echiniscidae	family	family		Echiniscidae	0	0.75	33526882
142628	Exact string match	Bryodelphax	Bryodelphax	Bryodelphax	genus	genus		Bryodelphax	0	0.75	33592750
142631	No match	Diploechiniscus			genus				
142633	Exact string match	Echiniscus	Echiniscus	Echiniscus	genus	genus		Echiniscus	0	0.75	33548677
142634	No match	Emydium			genus				
