taxonID,scientificName,matchedScientificName,matchedCanonicalForm,rank,matchedRank,matchType,editDistance,score
142733,"Echiniscus merokensis Richters, 1903","Echiniscus merokensis Richters, 1904",Echiniscus merokensis,species,species,Canonical form exact match,0,0.997
142735,"Echiniscus militaris Murray, 1911","Echiniscus militaris Murray, 1911",Echiniscus militaris,species,species,Exact match,0,0.999
142746,"Echiniscus oihonnae Richters, 1903","Echiniscus oihonnae Richters, 1903",Echiniscus oihonnae,species,species,Exact match,0,0.999
142757,"Echiniscus phocae Bois-Reymond Marcus, E. du, 1944.","Echiniscus phocae Du Bois-Reymond Marcus, 1944",Echiniscus phocae,species,species,Partial canonical form match,0,0.988
142765,"Echiniscus quadrispinosus Richters, 1902","Echiniscus quadrispinosus Richters, 1902",Echiniscus quadrispinosus,species,species,Exact match,0,0.999
142767,"Echiniscus reticulatus Murray, 1905","Echiniscus reticulatus Murray, 1905",Echiniscus reticulatus,species,species,Exact match,0,0.999
142779,"Echiniscus sigismundi Schultze, 1865",Echiniscus,Echiniscus,species,genus,Genus part match,0,0.75
142780,"Echiniscus sinensis Pilato, 1974",Echiniscus,Echiniscus,species,genus,Genus part match,0,0.75
142784,"Echiniscus spiculifer Schaudinn, 1901","Echiniscus spiculifer Schaudinn, 1901",Echiniscus spiculifer,species,species,Exact match,0,0.999
142786,"Echiniscus spitsbergensis Scourfield, 1897","Echiniscus spitsbergensis Scourfield, 1897",Echiniscus spitsbergensis,species,species,Exact match,0,0.999
142792,"Echiniscus suillus Ehrenberg, 1853","Echiniscus suillus Ehrenberg, 1853",Echiniscus suillus,species,species,Exact match,0,0.999
142797,"Echiniscus trisetosus Cuénot, 1932","Echiniscus trisetosus Cuénot, 1932",Echiniscus trisetosus,species,species,Exact match,0,0.999
142800,"Echiniscus victor Ehrenberg, 1853",Echiniscus,Echiniscus,species,genus,Genus part match,0,0.75
142806,"Echiniscus wendti Richters, 1903","Echiniscus wendti Richters, 1903",Echiniscus wendti,species,species,Exact match,0,0.999
142811,"Echiniscus granulatus (Doyère, 1840)","Echiniscus granulatus (Doyère, 1840)",Echiniscus granulatus,species,species,Exact match,0,0.999
142869,"Echiniscus spinulosus (Doyère, 1840)","Echiniscus spinulosus (Doyère, 1840)",Echiniscus spinulosus,species,species,Exact match,0,0.999
142870,"Echiniscus testudo (Doyère, 1840)","Echiniscus testudo (Doyère, 1840)",Echiniscus testudo,species,species,Exact match,0,0.999
142883,"Echiniscus quadrispinosus subsp. quadrispinosus Richters, 1902","Echiniscus quadrispinosus quadrispinosus Richters, 1902",Echiniscus quadrispinosus quadrispinosus,subspecies,infraspecies,Canonical form exact match,0,1.0
142879,"Echiniscus merokensis subsp. merokensis Richters, 1903","Echiniscus merokensis merokensis Richters, 1904",Echiniscus merokensis merokensis,subspecies,infraspecies,Canonical form exact match,0,1.0
142884,"Echiniscus merokensis subsp. suecicus Thulin, 1911","Echiniscus merokensis suecicus Thulin, 1911",Echiniscus merokensis suecicus,subspecies,infraspecies,Canonical form exact match,0,1.0
142872,"Echiniscus blumi subsp. blumi Richters, 1903","Echiniscus blumi blumi Richters, 1903",Echiniscus blumi blumi,subspecies,infraspecies,Canonical form exact match,0,1.0
142810,"Diploechiniscus oihonnae (Richters, 1903)",,,species,,,,
142754,"Bryodelphax parvulus Thulin, 1928","Bryodelphax parvulus Thulin, 1928",Bryodelphax parvulus,species,species,Exact match,0,0.999
142755,"Bryodelphax parvuspolaris 'Kaczmarek, Zawierucha, Smykla, & Michalczyk, 2012",Bryodelphax,Bryodelphax,species,genus,Genus part match,0,0.75
142852,"Bryodelphax sinensis (Pilato, 1974)","Bryodelphax sinensis (Pilato, 1974)",Bryodelphax sinensis,species,species,Exact match,0,0.999
51910,Echiniscoides,Echiniscoides,Echiniscoides,genus,genus,Exact match,0,0.75
51911,"Echiniscoides sigismundi (Schultze, 1865)","Echiniscoides sigismundi (M. Schultze, 1865)",Echiniscoides sigismundi,species,species,Canonical form exact match,0,0.75
