taxonID,scientificName
142868,"Tenuibiotus voronkovi (Tumanov, 2007)"
142844,"Richtersius coronifer (Richters, 1903)"
142842,"Paramacrobiotus areolatus (Murray, 1907)"
142843,"Paramacrobiotus richtersi (Murray, 1911)"
142716,"Minibiotus harrylewisi Meyer & Hinton, 2009"
142841,"Minibiotus intermedius (Plate, 1888)"
142867,"Minibiotus crassidens (Murray, 1907)"
142660,"Macrobiotus ambiguus Murray, 1907"
142661,"Macrobiotus ampullaceus Thulin, 1911"
142665,"Macrobiotus annulatus Murray, 1905"
142667,"Macrobiotus antarcticus Richters, 1904"
142668,"Macrobiotus arcticus Murray, 1907"
142672,"Macrobiotus ariekammensis Weglarska, 1965"
142674,"Macrobiotus asperus Murray, 1906"
142676,"Macrobiotus augusti Murray, 1907"
142688,"Macrobiotus convergens Urbanowicz, 1925"
142690,"Macrobiotus coronifer Richters, 1903"
142693,"Macrobiotus crassidens Murray, J., 1907. Some South African Tardigrada. J. R. Micr. Soc. London, 5: 515 - 524"
142694,"Macrobiotus crenulatus Richters, 1904"
142697,"Macrobiotus dianeae Kristensen, 1982"
142698,"Macrobiotus dispar Murray, 1907"
142699,"Macrobiotus dujardin Doyère, 1840"
142701,"Macrobiotus echinogenitus Richters, 1903"
142709,"Macrobiotus grandis Richters, 1911"
142711,"Macrobiotus granulatus Richters, 1903"
142715,"Macrobiotus harmsworthi Murray, 1907"
142717,"Macrobiotus hastatus Murray, 1907"
142718,"Macrobiotus hibernicus Murray, 1911"
142719,"Macrobiotus hibiscus de Barros, 1942"
142721,"Macrobiotus hufelandi C.A.S. Schultze, 1834"
142723,"Macrobiotus intermedius Plate, 1888"
142725,"Macrobiotus islandicus 'Richters, 1904"
142728,"Macrobiotus macrocalix Bertolani & Rebecchi, 1993"
142730,"Macrobiotus macronyx Dujardin, 1851"
142736,"Macrobiotus montanus Murray, 1910"
142739,"Macrobiotus norvegicus Mihelcic, 1971/1972"
142741,"Macrobiotus oberhaeuser Doyère, 1840"
142742,"Macrobiotus occidentalis Murray, 1910"
142747,"Macrobiotus orcadensis Murray, 1907"
142749,"Macrobiotus ornatus Richters, 1900"
142753,"Macrobiotus papillifer Murray, 1905"
142756,"Macrobiotus persimilis Binda & Pilato, 1972"
142764,"Macrobiotus pullari Murray, 1907"
142769,"Macrobiotus richtersi Murray, 1911"
142773,"Macrobiotus sattleri Richters, 1902"
142776,"Macrobiotus schaudinni Richters, 1909"
142783,"Macrobiotus spectabilis Thulin, 1928"
142791,"Macrobiotus stenostomus Richters, 1908"
142799,"Macrobiotus tuberculatus Plate, 1888"
142803,"Macrobiotus voronkovi Tumanov, 2007"
142807,"Macrobiotus willardi Pilato, 1977"
142809,"Macrobiotus zetlandicus Murray, 1907"
142881,"Macrobiotus occidentalis subsp. occidentalis Murray, 1910"
142878,"Macrobiotus islandicus subsp. islandicus Richters, 1904"
142877,"Macrobiotus hufelandi subsp. hufelandi C.A.S. Schultze, 1834"
142876,"Macrobiotus harmsworthi subsp. harmsworthi Murray, 1907"
142880,"Macrobiotus harmsworthi subsp. obscurus Dastych, 1985"
142886,"Macrobiotus echinogenitus subsp. areolatus Murray, 1907"
142887,"Macrobiotus echinogenitus var. areolatus Murray, 1907"
142888,"Macrobiotus echinogenitus f. areolatus Murray, 1907"
