TaxonId;kingdom;subkingdom;phylum;subphylum;superclass;class;subclass;cohort;superorder;order;suborder;infraorder;superfamily;family;subfamily;tribe;subtribe;genus;subgenus;section;species;subspecies;variety;form;ScientificNameAuthorship
147932;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Pleurasiga;;;reynoldsii;;;;Throndsen, 1970
147929;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Platypleura;;;infundibuliformis;;;;(Leadbeater) Thomsen in Thomsen & Boonruang, 1983
147927;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Parvicorbicula;;;quadricostata;;;;Throndsen, 1970
147928;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Parvicorbicula;;;socialis;;;;(Meunier) Deflandre, 1960
149951;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Parvicorbicula;;;circularis;;;;Thomsen, 1976
149952;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Parvicorbicula;;;superpositus;;;;Booth, 1990
149950;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Nannoeca;;;minuta;;;;(Leadbeater) Thomsen, 1988
149949;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Monocosta;;;fennica;;;;Thomsen, 1979
149948;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Diplotheca;;;costata;;;;Valkanov, 1970
147925;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Diaphanoeca;;;grandis;;;;Ellis, 1930
147926;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Diaphanoeca;;;sphaerica;;;;Thomsen, 1982
149946;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Diaphanoeca;;;pedicellata;;;;Leadbeater, 1972
149947;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Diaphanoeca;;;undulata;;;;Thomsen, 1982
147924;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Crucispina;;;cruciformis;;;;Espeland in Espeland & Throndsen, 1986
147923;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Crinolina;;;isefiordensis;;;;Thomsen, 1976
149945;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Crinolina;;;aperta;;;;(Leadbeater) Thomsen
149943;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Cosmoeca;;;norvegica;;;;Thomsen in Thomsen & Boonruang, 1984
149944;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Cosmoeca;;;ventricosa;;;;Thomsen in Thomsen & Boonruang, 1984
149942;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Amoenoscapa;;;caudata;;;;
149940;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Acanthoeca;;;brevipoda;;;;Ellis, 1930
149941;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Acanthoeca;;;spectabilis;;;;Ellis, 1930
147920;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Acanthocorbis;;;asymmetrica;;;;(Thomsen) Hara & Takahashi, 1984
147921;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Acanthocorbis;;;campanula;;;;(Espeland) Thomsen in Thomsen, Buck & Chavez, 1991
147922;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Acanthocorbis;;;unguiculata;;;;(Thomsen) Hara & Takahashi, 1984
149938;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Acanthocorbis;;;apoda;;;;(Leadbeater) Hara & Takahashi, 1984
149939;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Acanthoecaceae;;;;Acanthocorbis;;;haurakiana;;;;Thomsen in Thomsen, Buck & Chavez, 1991
118268;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Stelexomonas;;;;;;;
118270;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Salpingoeca;;;;;;;H.J. Clark
118273;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Aulomonas;;;;;;;Lackey
147603;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Bicosta;;;;;;;B.Leadb.
147604;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Calliacantha;;;;;;;B.Leadb.
147605;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Pachysoeca;;;;;;;
150385;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Pachysoeca;;;ruttneri;;;;(Bourr.) Fott
150386;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Pachysoeca;;;urnula;;;;(Skuja) ?
147948;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Calliacantha;;;natans;;;;(Grøntved) Leadbeater, 1978
150382;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Calliacantha;;;longicaudata;;;;(Leadbeater) Leadbeater, 1978
150383;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Calliacantha;;;multispina;;;;Manton & Oates
150384;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Calliacantha;;;simplex;;;;Manton & Oates, 1979
147946;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Bicosta;;;minor;;;;(Reynolds) Leadbeater, 1978
147947;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Bicosta;;;spinifera;;;;(Throndsen) Leadbeater, 1978
150381;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Bicosta;;;antennigera;;;;Moestrup, 1979
118274;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Aulomonas;;;purdyi;;;;Lackey
118271;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Salpingoeca;;;frequentissima;;;;(Zacharias) Lemmermann
149806;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Salpingoeca;;;aggregata;;;;Valkanov
149807;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Salpingoeca;;;amphoridium;;;;James-Clark
149808;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Salpingoeca;;;collaris;;;;Stokes
149809;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Salpingoeca;;;gracilis;;;;Clark
149810;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Salpingoeca;;;inquillata;;;;Kent
149811;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Salpingoeca;;;marina;;;;James-Clark
149812;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Salpingoeca;;;minuta;;;;Kent
118269;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Salpingoecaceae;;;;Stelexomonas;;;dichotoma;;;;Lackey
118263;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Codosiga;;;;;;;H.J.Clark
118265;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Desmarella;;;;;;;Kent
147601;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Monosiga;;;;;;;Kent
147602;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Proterospongia;;;;;;;
151163;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Sphaeroeca;;;;;;;Lauterborn
151257;Animalia;;Choanozoa;;;Choanoflagellatea;;;;Craspedida;;;;Codonosigaceae;;;;Sphaeroeca;;;volvox;;;;Lauterborn
