TaxonId,kingdom,subkingdom,phylum,subphylum,superclass,class,subclass,cohort,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,section,species,subspecies,variety,form,ScientificNameAuthorship
149960,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,STEPHANOECA,,,NORRISII,,,,"Thomsen, 1973"
149961,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,STEPHANOECA,,,URNULA,,,,"Thomsen, 1973"
149956,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,SAVILLEA,,,MICROPORA,,,,"(Norris) Leadbeater, 1975"
149957,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,SAVILLEA,,,PARVA,,,,"(Ellis) Loeblich III, 1967"
149955,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,SAROECA,,,ATTENUATA,,,,"Thomsen, 1979"
149954,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,SAEPICULA,,,PULCHRA,,,,"Leadbeater, 1980"
149953,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,POLYOECA,,,DICHOTOMA,,,,"(Kent, 1881)"
147933,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,POLYFIBULA,,,SPHYRELATA,,,,"(Thomsen) Manton in Manton & Bremer, 1981"
147930,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PLEURASIGA,,,ECHINOCOSTATA,,,,"Espeland in Espeland & Throndsen, 1986"
147931,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PLEURASIGA,,,MINIMA,,,,"Throndsen, 1970"
147932,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PLEURASIGA,,,REYNOLDSII,,,,"Throndsen, 1970"
147929,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PLATYPLEURA,,,INFUNDIBULIFORMIS,,,,"(Leadbeater) Thomsen in Thomsen & Boonruang, 1983"
147927,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PARVICORBICULA,,,QUADRICOSTATA,,,,"Throndsen, 1970"
147928,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PARVICORBICULA,,,SOCIALIS,,,,"(Meunier) Deflandre, 1960"
149951,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PARVICORBICULA,,,CIRCULARIS,,,,"Thomsen, 1976"
149952,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,PARVICORBICULA,,,SUPERPOSITUS,,,,"Booth, 1990"
149950,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,NANNOECA,,,MINUTA,,,,"(Leadbeater) Thomsen, 1988"
149949,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,MONOCOSTA,,,FENNICA,,,,"Thomsen, 1979"
149948,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,DIPLOTHECA,,,COSTATA,,,,"Valkanov, 1970"
147925,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,DIAPHANOECA,,,GRANDIS,,,,"Ellis, 1930"
147926,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,DIAPHANOECA,,,SPHAERICA,,,,"Thomsen, 1982"
149946,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,DIAPHANOECA,,,PEDICELLATA,,,,"Leadbeater, 1972"
149947,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,DIAPHANOECA,,,UNDULATA,,,,"Thomsen, 1982"
147924,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,CRUCISPINA,,,CRUCIFORMIS,,,,"Espeland in Espeland & Throndsen, 1986"
147923,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,CRINOLINA,,,ISEFIORDENSIS,,,,"Thomsen, 1976"
149945,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,CRINOLINA,,,APERTA,,,,(Leadbeater) Thomsen
149943,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,COSMOECA,,,NORVEGICA,,,,"Thomsen in Thomsen & Boonruang, 1984"
149944,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,COSMOECA,,,VENTRICOSA,,,,"Thomsen in Thomsen & Boonruang, 1984"
149942,ANIMALIA,,CHOANOZOA,,,CHOANOFLAGELLATEA,,,,CRASPEDIDA,,,,ACANTHOECACEAE,,,,AMOENOSCAPA,,,CAUDATA,,,,
